iter	Logloss
0	0.5504769466
1	0.4486499038
2	0.375785586
3	0.3232211157
4	0.2853188104
5	0.2579391472
6	0.2363215384
7	0.2209909345
8	0.2100955806
9	0.2004301363
10	0.1927702216
11	0.1870167244
12	0.1832344452
13	0.1786584797
14	0.1749239567
15	0.1724112558
16	0.1700570188
17	0.1677081096
18	0.1661767719
19	0.1644366858
20	0.1627509378
21	0.1620096541
22	0.1609431325
23	0.1600571255
24	0.1590435159
25	0.1584406905
26	0.1578441743
27	0.1572762883
28	0.156634857
29	0.1560008532
30	0.155511729
31	0.1549584098
32	0.1546960042
33	0.1543925544
34	0.1538282542
35	0.1535118659
36	0.1530419614
37	0.1524847456
38	0.1519355018
39	0.1514088529
40	0.15104268
41	0.1506868906
42	0.1501211948
43	0.1497953319
44	0.1492150932
45	0.1486335813
46	0.1481067641
47	0.1476573885
48	0.1472539295
49	0.1470069837
50	0.1465394915
51	0.1461778877
52	0.1456998661
53	0.145404882
54	0.1447723881
55	0.1444671665
56	0.1441182822
57	0.1438589794
58	0.1435980419
59	0.1431047036
60	0.1426047507
61	0.1421997305
62	0.1420482248
63	0.1417696143
64	0.1413644694
65	0.1410110329
66	0.1407924702
67	0.140453394
68	0.1399766187
69	0.1395601605
70	0.1393073909
71	0.1389917112
72	0.138787559
73	0.1383421938
74	0.1377941951
75	0.1376271807
76	0.1372738559
77	0.137038514
78	0.136729928
79	0.1364447745
80	0.1359739725
81	0.1357404161
82	0.135358834
83	0.1350578805
84	0.1348308991
85	0.1347296162
86	0.1342424065
87	0.133861972
88	0.1336032588
89	0.1333402853
90	0.1330669207
91	0.1326295747
92	0.1323042405
93	0.1319991699
94	0.1316125615
95	0.1313339407
96	0.131034497
97	0.1307508226
98	0.1305070475
99	0.1303697846
100	0.1299772566
101	0.1297636872
102	0.1295800005
103	0.1293561319
104	0.1290224027
105	0.1287423048
106	0.1283054646
107	0.1280614002
108	0.1278407064
109	0.1275651096
110	0.1271929463
111	0.1268838618
112	0.1265728737
113	0.1262357506
114	0.1260820159
115	0.1258595177
116	0.1257397943
117	0.1253964741
118	0.1251449437
119	0.1249903714
120	0.1246574572
121	0.1242953771
122	0.1241516521
123	0.1236722261
124	0.1234538955
125	0.1232623433
126	0.1230413036
127	0.1228436447
128	0.1225787382
129	0.1223898214
130	0.1222003014
131	0.1220614188
132	0.121921362
133	0.1217059371
134	0.1215417817
135	0.1212535606
136	0.1211708877
137	0.1209048426
138	0.1206567762
139	0.1204058599
140	0.1202168677
141	0.1200108342
142	0.1197836086
143	0.1194424928
144	0.1191393782
145	0.1189616658
146	0.1187323167
147	0.1185406548
148	0.1183473233
149	0.1181498393
150	0.1178217442
151	0.1175694588
152	0.1172859966
153	0.117137353
154	0.1167976258
155	0.1165702274
156	0.1163653634
157	0.1160228435
158	0.1158464452
159	0.1155973191
160	0.1152857906
161	0.1151322092
162	0.1147547516
163	0.1145024293
164	0.1141889637
165	0.1138751495
166	0.1135926899
167	0.113374099
168	0.1132102044
169	0.1128275974
170	0.1126693509
171	0.1124495965
172	0.1120518899
173	0.1116186538
174	0.1114154452
175	0.1112386388
176	0.1110600232
177	0.1107435531
178	0.1105928654
179	0.1103966949
180	0.1100556116
181	0.1098753954
182	0.1097503546
183	0.1094631552
184	0.1093527451
185	0.1089953419
186	0.1088496117
187	0.1086949657
188	0.1086062617
189	0.108396741
190	0.108183476
191	0.108011157
192	0.1078086984
193	0.1075938944
194	0.1075282951
195	0.1073238813
196	0.1069838573
197	0.1067583149
198	0.1064269884
199	0.1060575515
200	0.1058617776
201	0.1056137197
202	0.1052914777
203	0.1051887822
204	0.1050773898
205	0.1046823881
206	0.1044480135
207	0.1042575197
208	0.1041384174
209	0.104034779
210	0.1037612217
211	0.1035052274
212	0.103369395
213	0.1032067225
214	0.1031244946
215	0.1028495328
216	0.1026826966
217	0.1023683561
218	0.1021618948
219	0.1018885614
220	0.1016554055
221	0.1015317886
222	0.101329526
223	0.1010195003
224	0.1007273798
225	0.1005632498
226	0.1004900692
227	0.1001483026
228	0.09993454314
229	0.09970109467
230	0.09948895482
231	0.09927399962
232	0.09900174041
233	0.09892317186
234	0.09880528938
235	0.09856740483
236	0.09848331984
237	0.09832138978
238	0.0982217783
239	0.09806920471
240	0.09792684762
241	0.09771888057
242	0.09754012363
243	0.09730617201
244	0.09716573276
245	0.09704291549
246	0.09690907367
247	0.09661851948
248	0.09639411038
249	0.09620320951
